Hello.	Hello!
Are you ok?	Yes!
Good morning!	Morning!
Are you hungry?	Yes!
Did you have lunch?	No,I haven't!
Help!	What's happening?
Are you coming with me?	I'd like to.
Cheers!	Cheers!
Have a nice day!	you too!
Have a nice weekend!	you too!
Enjoy th food!	Thanks.
Thank you so much!	No problem.
What's going on?	Nothing.
How old are you?	I'm 30 years old.
See you son.	Bye!
How do you feel?	It's great!
Good night!	Have a nice dream!
This is my father.	Nice to meet you.
The show is over.	Let's go back home!
